state,district,crop,season,year,area_hectare,production_tonne,yield_tonne_per_hectare,rainfall_mm,mean_temperature_c,soil_ph,soil_n,soil_p,soil_k,soil_moisture,ndvi
Uttar Pradesh,Aligarh,Wheat,Rabi,2021,182000.0,764000.0,4.2,82.0,20.0,7.8,205.0,19.0,190.0,23.5,0.68
Uttar Pradesh,Varanasi,Rice,Kharif,2021,46000.0,128000.0,2.78,940.0,29.2,7.2,215.0,20.0,185.0,26.0,0.69
Uttar Pradesh,Gorakhpur,Rice,Kharif,2021,172000.0,481000.0,2.8,1180.0,28.8,7.0,225.0,22.0,180.0,28.0,0.72
Madhya Pradesh,Indore,Soybean,Kharif,2021,218000.0,283000.0,1.3,890.0,27.5,7.7,190.0,18.0,300.0,23.0,0.65
Madhya Pradesh,Indore,Wheat,Rabi,2021,142000.0,596000.0,4.2,42.0,21.4,7.7,190.0,18.0,300.0,23.0,0.65
Madhya Pradesh,Ujjain,Soybean,Kharif,2021,440000.0,528000.0,1.2,860.0,27.8,7.8,185.0,17.5,310.0,22.5,0.63
Madhya Pradesh,Ujjain,Wheat,Rabi,2021,290000.0,1247000.0,4.3,40.0,21.2,7.8,185.0,17.5,310.0,22.5,0.63
Madhya Pradesh,Hoshangabad,Wheat,Rabi,2021,288000.0,1382000.0,4.8,68.0,22.0,7.4,210.0,21.0,280.0,26.0,0.71
Gujarat,Rajkot,Groundnut,Kharif,2021,272000.0,489000.0,1.8,680.0,29.2,7.9,160.0,15.0,290.0,18.5,0.57
Gujarat,Rajkot,Cotton,Kharif,2021,245000.0,161000.0,0.66,680.0,29.2,7.9,160.0,15.0,290.0,18.5,0.57
Gujarat,Surendranagar,Cotton,Kharif,2021,365000.0,226000.0,0.62,590.0,29.8,8.1,150.0,14.0,280.0,17.0,0.54
Tamil Nadu,Thanjavur,Rice,Kharif,2021,178000.0,694000.0,3.9,890.0,29.8,6.8,220.0,23.0,240.0,28.0,0.73
Tamil Nadu,Thiruvarur,Rice,Kharif,2021,154000.0,600000.0,3.9,940.0,29.6,6.7,225.0,24.0,235.0,29.0,0.74
Tamil Nadu,Villupuram,Sugarcane,Whole Year,2021,48000.0,4800000.0,100.0,1120.0,28.5,7.1,200.0,20.0,250.0,26.0,0.7
West Bengal,Burdwan,Rice,Kharif,2021,485000.0,1552000.0,3.2,1340.0,29.0,6.4,240.0,26.0,220.0,30.0,0.77
West Bengal,Burdwan,Rice,Rabi,2022,182000.0,728000.0,4.0,145.0,23.5,6.4,240.0,26.0,220.0,30.0,0.77
West Bengal,Hooghly,Rice,Kharif,2021,198000.0,613000.0,3.1,1410.0,29.1,6.5,235.0,25.0,215.0,29.5,0.75
Rajasthan,Sri Ganganagar,Wheat,Rabi,2021,312000.0,1341000.0,4.3,62.0,19.8,8.2,165.0,14.0,220.0,18.0,0.59
Rajasthan,Sri Ganganagar,Mustard,Rabi,2021,142000.0,241000.0,1.7,62.0,19.8,8.2,165.0,14.0,220.0,18.0,0.59
Rajasthan,Alwar,Mustard,Rabi,2021,268000.0,455000.0,1.7,72.0,20.4,7.9,175.0,16.0,205.0,19.5,0.6
Odisha,Bargarh,Rice,Kharif,2021,224000.0,672000.0,3.0,1280.0,28.6,6.3,210.0,19.0,200.0,27.0,0.7
Odisha,Cuttack,Rice,Kharif,2021,142000.0,383000.0,2.7,1420.0,28.8,6.4,215.0,20.0,195.0,28.0,0.71
Bihar,Rohtas,Rice,Kharif,2021,164000.0,524000.0,3.2,920.0,29.0,7.1,220.0,21.0,190.0,26.0,0.69
Bihar,Rohtas,Wheat,Rabi,2021,158000.0,505000.0,3.2,58.0,20.8,7.1,220.0,21.0,190.0,26.0,0.69
Bihar,Khagaria,Maize,Rabi,2021,68000.0,442000.0,6.5,64.0,21.0,7.2,215.0,22.0,195.0,27.0,0.7
